,age,job,marital,education,balance,housing,loan,campaign,pdays,deposit
0,59.0,admin.,married,secondary,2343,yes,no,1,-1.0,yes
1,56.0,admin.,married,secondary,45,no,no,1,-1.0,yes
2,41.0,technician,married,secondary,1270,yes,no,1,-1.0,yes
3,55.0,services,married,secondary,2476,yes,no,1,-1.0,yes
4,54.0,admin.,married,tertiary,184,no,no,2,-1.0,yes
5,42.0,management,single,tertiary,0,yes,yes,2,-1.0,yes
6,56.0,management,married,tertiary,830,yes,yes,1,-1.0,yes
7,60.0,retired,divorced,secondary,545,yes,no,1,-1.0,yes
8,37.0,technician,married,secondary,1,yes,no,1,-1.0,yes
9,28.0,services,single,secondary,4087,yes,no,3,-1.0,yes
10,38.0,admin.,single,secondary,100,yes,no,1,-1.0,yes
11,30.0,blue-collar,married,secondary,309,yes,no,2,-1.0,yes
12,29.0,management,married,tertiary,199,yes,yes,4,-1.0,yes
13,46.0,blue-collar,single,tertiary,460,yes,no,2,-1.0,yes
14,31.0,technician,single,tertiary,703,yes,no,2,-1.0,yes
15,35.0,management,divorced,tertiary,3837,yes,no,1,-1.0,yes
16,32.0,blue-collar,single,primary,611,yes,no,3,-1.0,yes
17,49.0,services,married,secondary,-8,yes,no,1,-1.0,yes
18,41.0,admin.,married,secondary,55,yes,no,2,-1.0,yes
19,49.0,admin.,divorced,secondary,168,yes,yes,1,-1.0,yes
20,28.0,admin.,divorced,secondary,785,yes,no,2,-1.0,yes
21,43.0,management,single,tertiary,2067,yes,no,1,-1.0,yes
22,43.0,management,divorced,tertiary,388,yes,no,2,-1.0,yes
23,43.0,blue-collar,married,primary,-192,yes,no,2,-1.0,yes
24,37.0,unemployed,single,secondary,381,yes,no,2,-1.0,yes
25,35.0,blue-collar,single,secondary,40,yes,no,4,-1.0,yes
26,31.0,technician,single,tertiary,22,yes,no,3,-1.0,yes
27,43.0,blue-collar,single,secondary,3,yes,no,3,-1.0,yes
28,31.0,admin.,married,secondary,307,yes,no,1,-1.0,yes
29,28.0,blue-collar,single,secondary,759,yes,no,1,-1.0,yes
30,32.0,blue-collar,married,secondary,-1,yes,no,1,-1.0,yes
31,60.0,technician,married,primary,65,yes,no,2,-1.0,yes
32,26.0,blue-collar,single,secondary,82,yes,no,1,-1.0,yes
33,40.0,blue-collar,married,secondary,10,yes,no,2,-1.0,yes
34,33.0,blue-collar,divorced,primary,390,yes,no,2,-1.0,yes
35,32.0,management,single,tertiary,311,no,no,2,-1.0,yes
36,35.0,blue-collar,married,primary,414,no,no,4,-1.0,yes
37,33.0,management,divorced,secondary,5,yes,no,1,-1.0,yes
38,38.0,management,married,tertiary,119,yes,no,4,-1.0,yes
39,23.0,entrepreneur,single,primary,4,yes,no,2,-1.0,yes
40,60.0,blue-collar,married,primary,1262,yes,yes,1,-1.0,yes
41,48.0,management,married,tertiary,1949,yes,no,2,-1.0,yes
42,45.0,entrepreneur,divorced,tertiary,-395,yes,no,1,-1.0,yes
43,36.0,blue-collar,married,secondary,1165,yes,no,4,-1.0,yes
44,52.0,management,married,unknown,2240,yes,no,1,-1.0,yes
45,35.0,blue-collar,divorced,primary,300,yes,no,2,-1.0,yes
46,43.0,technician,married,secondary,3285,yes,no,2,-1.0,yes
47,52.0,housemaid,married,secondary,3923,yes,no,3,-1.0,yes
48,53.0,technician,divorced,primary,1443,yes,no,1,-1.0,yes
49,48.0,blue-collar,divorced,primary,24,yes,no,1,-1.0,yes
50,41.0,blue-collar,single,primary,1618,yes,no,1,-1.0,yes
51,39.0,management,divorced,tertiary,517,yes,yes,1,-1.0,yes
52,59.0,retired,married,secondary,1521,yes,yes,2,-1.0,yes
53,41.0,blue-collar,married,secondary,2823,yes,no,1,-1.0,yes
